dataset,naive_cost,max_cost_for_tree,greedy_cost_for_tree,optimized_cost,split,cost_by_var,tree_accuracy,use_cost_sens,cost_sens_scalar,iter
coupon_full,0.0,0,0.0,0.0,train,"{'temperature1': 5, 'time1': 6, 'age1': 1, 'income1': 5, 'Bar1': 5, 'CoffeeHouse1': 2, 'CarryAway1': 2, 'RestaurantLessThan201': 4, 'Restaurant20To501': 8}",0.49591542527630944,False,0.1,
coupon_full,0.0,0,0.0,0.0,test,"{'temperature1': 5, 'time1': 6, 'age1': 1, 'income1': 5, 'Bar1': 5, 'CoffeeHouse1': 2, 'CarryAway1': 2, 'RestaurantLessThan201': 4, 'Restaurant20To501': 8}",0.49591542527630944,False,0.1,23.0
wine_quality,0.0,0,0.0,0.0,train,"{'fixed_acidity': 1, 'volatile_acidity': 2, 'citric_acid': 2, 'residual_sugar': 2, 'chlorides': 6, 'free_sulfur_dioxide': 9, 'total_sulfur_dioxide': 1, 'density': 9, 'pH': 7, 'sulphates': 6, 'alcohol': 8}",0.4947589098532495,False,0.1,
wine_quality,0.0,0,0.0,0.0,test,"{'fixed_acidity': 1, 'volatile_acidity': 2, 'citric_acid': 2, 'residual_sugar': 2, 'chlorides': 6, 'free_sulfur_dioxide': 9, 'total_sulfur_dioxide': 1, 'density': 9, 'pH': 7, 'sulphates': 6, 'alcohol': 8}",0.4947589098532495,False,0.1,23.0
compas_complete,0.0,0,0.0,0.0,train,"{'age': 1, 'juv_fel_count': 4, 'juv_misd_count': 5, 'juvenile_crimes': 9, 'priors_count': 7}",0.508209538702111,False,0.1,
compas_complete,0.0,0,0.0,0.0,test,"{'age': 1, 'juv_fel_count': 4, 'juv_misd_count': 5, 'juvenile_crimes': 9, 'priors_count': 7}",0.508209538702111,False,0.1,23.0
wisconsin,1.0,1,1.0,1.0,train,"{'radius1': 2, 'texture1': 5, 'perimeter1': 5, 'area1': 1, 'smoothness1': 5, 'compactness1': 3, 'concavity1': 4, 'concave_points1': 8, 'symmetry1': 1, 'fractal_dimension1': 6, 'radius2': 2, 'texture2': 6, 'perimeter2': 2, 'area2': 2, 'smoothness2': 1, 'compactness2': 2, 'concavity2': 5, 'concave_points2': 2, 'symmetry2': 5, 'fractal_dimension2': 4, 'radius3': 1, 'texture3': 1, 'perimeter3': 7, 'area3': 6, 'smoothness3': 6, 'compactness3': 1, 'concavity3': 9, 'concave_points3': 4, 'symmetry3': 3, 'fractal_dimension3': 3}",0.8705882352941177,False,0.1,
wisconsin,1.0,1,1.0,1.0,test,"{'radius1': 2, 'texture1': 5, 'perimeter1': 5, 'area1': 1, 'smoothness1': 5, 'compactness1': 3, 'concavity1': 4, 'concave_points1': 8, 'symmetry1': 1, 'fractal_dimension1': 6, 'radius2': 2, 'texture2': 6, 'perimeter2': 2, 'area2': 2, 'smoothness2': 1, 'compactness2': 2, 'concavity2': 5, 'concave_points2': 2, 'symmetry2': 5, 'fractal_dimension2': 4, 'radius3': 1, 'texture3': 1, 'perimeter3': 7, 'area3': 6, 'smoothness3': 6, 'compactness3': 1, 'concavity3': 9, 'concave_points3': 4, 'symmetry3': 3, 'fractal_dimension3': 3}",0.8705882352941177,False,0.1,23.0
broward_general_2y,0.0,0,0.0,0.0,train,"{'age_at_current_charge': 4, 'age_at_first_charge': 7, 'p_charges': 6, 'p_probation': 9, 'p_juv_fel_count': 7, 'p_felprop_viol': 5, 'p_murder': 5, 'p_felassault': 4, 'p_misdeassault': 1, 'p_sex_offense': 3, 'p_weapon': 9, 'p_fta_two_year': 8, 'p_fta_two_year_plus': 2, 'p_pending_charge': 1, 'p_felony': 6, 'p_misdemeanor': 5, 'p_violence': 6, 'total_convictions': 4, 'p_arrest': 5, 'p_property': 2, 'p_traffic': 8, 'p_drug': 4, 'p_dui': 6, 'p_domestic': 7, 'p_stalking': 4, 'p_voyeurism': 5, 'p_fraud': 4, 'p_stealing': 3, 'p_trespass': 9}",0.49157303370786515,False,0.1,
broward_general_2y,0.0,0,0.0,0.0,test,"{'age_at_current_charge': 4, 'age_at_first_charge': 7, 'p_charges': 6, 'p_probation': 9, 'p_juv_fel_count': 7, 'p_felprop_viol': 5, 'p_murder': 5, 'p_felassault': 4, 'p_misdeassault': 1, 'p_sex_offense': 3, 'p_weapon': 9, 'p_fta_two_year': 8, 'p_fta_two_year_plus': 2, 'p_pending_charge': 1, 'p_felony': 6, 'p_misdemeanor': 5, 'p_violence': 6, 'total_convictions': 4, 'p_arrest': 5, 'p_property': 2, 'p_traffic': 8, 'p_drug': 4, 'p_dui': 6, 'p_domestic': 7, 'p_stalking': 4, 'p_voyeurism': 5, 'p_fraud': 4, 'p_stealing': 3, 'p_trespass': 9}",0.49157303370786515,False,0.1,23.0
