dataset,naive_cost,max_cost_for_tree,greedy_cost_for_tree,optimized_cost,split,cost_by_var,tree_accuracy,use_cost_sens,cost_sens_scalar,tree_depth,iter
fico_complete,15.326476443264765,29,23.290643662906437,15.326476443264765,train,"{'PercentTradesWBalance': 6, 'MSinceOldestTradeOpen': 5, 'MSinceMostRecentTradeOpen': 4, 'AverageMInFile': 4, 'NumSatisfactoryTrades': 1, 'NumTrades60Ever2DerogPubRec': 5, 'NumTrades90Ever2DerogPubRec': 5, 'PercentTradesNeverDelq': 2, 'MSinceMostRecentDelq': 4, 'MaxDelq2PublicRecLast12M': 5, 'MaxDelqEver': 2, 'NumTotalTrades': 3, 'NumTradesOpeninLast12M': 2, 'PercentInstallTrades': 2, 'MSinceMostRecentInqexcl7days': 3, 'NumInqLast6M': 2, 'NumInqLast6Mexcl7days': 3, 'NetFractionRevolvingBurden': 9, 'NetFractionInstallBurden': 5, 'NumRevolvingTradesWBalance': 3, 'NumInstallTradesWBalance': 5, 'NumBank2NatlTradesWHighUtilization': 7}",0.6153846153846154,False,0.0001,3,
fico_complete,15.286472148541113,29,23.103448275862068,15.286472148541113,test,"{'PercentTradesWBalance': 6, 'MSinceOldestTradeOpen': 5, 'MSinceMostRecentTradeOpen': 4, 'AverageMInFile': 4, 'NumSatisfactoryTrades': 1, 'NumTrades60Ever2DerogPubRec': 5, 'NumTrades90Ever2DerogPubRec': 5, 'PercentTradesNeverDelq': 2, 'MSinceMostRecentDelq': 4, 'MaxDelq2PublicRecLast12M': 5, 'MaxDelqEver': 2, 'NumTotalTrades': 3, 'NumTradesOpeninLast12M': 2, 'PercentInstallTrades': 2, 'MSinceMostRecentInqexcl7days': 3, 'NumInqLast6M': 2, 'NumInqLast6Mexcl7days': 3, 'NetFractionRevolvingBurden': 9, 'NetFractionInstallBurden': 5, 'NumRevolvingTradesWBalance': 3, 'NumInstallTradesWBalance': 5, 'NumBank2NatlTradesWHighUtilization': 7}",0.6153846153846154,False,0.0001,3,0.0
iris_setosa,7.0,7,7.0,7.0,train,"{'sepal length': 6, 'sepal width': 7, 'petal length': 7, 'petal width': 8}",1.0,False,0.0001,3,
iris_setosa,7.0,7,7.0,7.0,test,"{'sepal length': 6, 'sepal width': 7, 'petal length': 7, 'petal width': 8}",1.0,False,0.0001,3,0.0
iris_versicolor,13.1875,24,17.7,13.1875,train,"{'sepal length': 5, 'sepal width': 9, 'petal length': 1, 'petal width': 9}",0.7,False,0.0001,3,
iris_versicolor,13.5,24,17.7,13.5,test,"{'sepal length': 5, 'sepal width': 9, 'petal length': 1, 'petal width': 9}",0.7,False,0.0001,3,0.0
iris_virginica,4.7625,12,4.7625,4.7625,train,"{'sepal length': 4, 'sepal width': 2, 'petal length': 1, 'petal width': 9}",0.9,False,0.0001,3,
iris_virginica,2.9,12,2.9,2.9,test,"{'sepal length': 4, 'sepal width': 2, 'petal length': 1, 'petal width': 9}",0.9,False,0.0001,3,0.0
spiral,6.0,6,6.0,6.0,train,"{'feat1': 4, 'feat2': 6}",0.6,False,0.0001,3,
spiral,6.0,6,6.0,6.0,test,"{'feat1': 4, 'feat2': 6}",0.6,False,0.0001,3,0.0
tic-tac-toe,18.451977401129945,39,30.5894538606403,19.934086629001882,train,"{'Feat0_o': 3, 'Feat0_x': 5, 'Feat1_o': 2, 'Feat1_x': 9, 'Feat2_o': 4, 'Feat2_x': 8, 'Feat3_o': 9, 'Feat3_x': 1, 'Feat4_o': 7, 'Feat4_x': 6, 'Feat5_o': 3, 'Feat5_x': 3, 'Feat6_o': 9, 'Feat6_x': 7, 'Feat7_o': 9, 'Feat7_x': 1, 'Feat8_o': 4, 'Feat8_x': 3}",0.7293233082706767,False,0.0001,3,
tic-tac-toe,18.541353383458645,39,30.76691729323308,20.06766917293233,test,"{'Feat0_o': 3, 'Feat0_x': 5, 'Feat1_o': 2, 'Feat1_x': 9, 'Feat2_o': 4, 'Feat2_x': 8, 'Feat3_o': 9, 'Feat3_x': 1, 'Feat4_o': 7, 'Feat4_x': 6, 'Feat5_o': 3, 'Feat5_x': 3, 'Feat6_o': 9, 'Feat6_x': 7, 'Feat7_o': 9, 'Feat7_x': 1, 'Feat8_o': 4, 'Feat8_x': 3}",0.7293233082706767,False,0.0001,3,0.0
