dataset,naive_cost,max_cost_for_tree,greedy_cost_for_tree,optimized_cost,split,cost_by_var,tree_accuracy,use_cost_sens,cost_sens_scalar,iter
coupon_full,0.0,0,0.0,0.0,train,"{'temperature1': 1, 'time1': 7, 'age1': 5, 'income1': 8, 'Bar1': 8, 'CoffeeHouse1': 9, 'CarryAway1': 6, 'RestaurantLessThan201': 6, 'Restaurant20To501': 3}",0.48438250840941854,False,0.01,
coupon_full,0.0,0,0.0,0.0,test,"{'temperature1': 1, 'time1': 7, 'age1': 5, 'income1': 8, 'Bar1': 8, 'CoffeeHouse1': 9, 'CarryAway1': 6, 'RestaurantLessThan201': 6, 'Restaurant20To501': 3}",0.48438250840941854,False,0.01,15.0
wine_quality,5.0,5,5.0,5.0,train,"{'fixed_acidity': 5, 'volatile_acidity': 4, 'citric_acid': 9, 'residual_sugar': 5, 'chlorides': 7, 'free_sulfur_dioxide': 8, 'total_sulfur_dioxide': 6, 'density': 1, 'pH': 1, 'sulphates': 5, 'alcohol': 5}",0.6855345911949685,False,0.01,
wine_quality,5.0,5,5.0,5.0,test,"{'fixed_acidity': 5, 'volatile_acidity': 4, 'citric_acid': 9, 'residual_sugar': 5, 'chlorides': 7, 'free_sulfur_dioxide': 8, 'total_sulfur_dioxide': 6, 'density': 1, 'pH': 1, 'sulphates': 5, 'alcohol': 5}",0.6855345911949685,False,0.01,15.0
compas_complete,6.0,6,6.0,6.0,train,"{'age': 3, 'juv_fel_count': 7, 'juv_misd_count': 6, 'juvenile_crimes': 7, 'priors_count': 6}",0.6207974980453479,False,0.01,
compas_complete,6.0,6,6.0,6.0,test,"{'age': 3, 'juv_fel_count': 7, 'juv_misd_count': 6, 'juvenile_crimes': 7, 'priors_count': 6}",0.6207974980453479,False,0.01,15.0
wisconsin,2.7905604719764012,7,3.448377581120944,3.690265486725664,train,"{'radius1': 3, 'texture1': 1, 'perimeter1': 5, 'area1': 4, 'smoothness1': 1, 'compactness1': 3, 'concavity1': 8, 'concave_points1': 4, 'symmetry1': 4, 'fractal_dimension1': 5, 'radius2': 7, 'texture2': 6, 'perimeter2': 2, 'area2': 1, 'smoothness2': 3, 'compactness2': 1, 'concavity2': 6, 'concave_points2': 6, 'symmetry2': 4, 'fractal_dimension2': 8, 'radius3': 1, 'texture3': 4, 'perimeter3': 4, 'area3': 8, 'smoothness3': 4, 'compactness3': 6, 'concavity3': 3, 'concave_points3': 9, 'symmetry3': 3, 'fractal_dimension3': 1}",0.9411764705882353,False,0.01,
wisconsin,2.5176470588235293,7,3.2470588235294118,3.235294117647059,test,"{'radius1': 3, 'texture1': 1, 'perimeter1': 5, 'area1': 4, 'smoothness1': 1, 'compactness1': 3, 'concavity1': 8, 'concave_points1': 4, 'symmetry1': 4, 'fractal_dimension1': 5, 'radius2': 7, 'texture2': 6, 'perimeter2': 2, 'area2': 1, 'smoothness2': 3, 'compactness2': 1, 'concavity2': 6, 'concave_points2': 6, 'symmetry2': 4, 'fractal_dimension2': 8, 'radius3': 1, 'texture3': 4, 'perimeter3': 4, 'area3': 8, 'smoothness3': 4, 'compactness3': 6, 'concavity3': 3, 'concave_points3': 9, 'symmetry3': 3, 'fractal_dimension3': 1}",0.9411764705882353,False,0.01,15.0
broward_general_2y,1.0,1,1.0,1.0,train,"{'age_at_current_charge': 8, 'age_at_first_charge': 9, 'p_charges': 7, 'p_probation': 2, 'p_juv_fel_count': 9, 'p_felprop_viol': 4, 'p_murder': 4, 'p_felassault': 5, 'p_misdeassault': 3, 'p_sex_offense': 2, 'p_weapon': 2, 'p_fta_two_year': 3, 'p_fta_two_year_plus': 7, 'p_pending_charge': 1, 'p_felony': 8, 'p_misdemeanor': 4, 'p_violence': 6, 'total_convictions': 3, 'p_arrest': 9, 'p_property': 5, 'p_traffic': 7, 'p_drug': 8, 'p_dui': 3, 'p_domestic': 8, 'p_stalking': 2, 'p_fraud': 2, 'p_stealing': 3, 'p_trespass': 5}",0.5814606741573034,False,0.01,
broward_general_2y,1.0,1,1.0,1.0,test,"{'age_at_current_charge': 8, 'age_at_first_charge': 9, 'p_charges': 7, 'p_probation': 2, 'p_juv_fel_count': 9, 'p_felprop_viol': 4, 'p_murder': 4, 'p_felassault': 5, 'p_misdeassault': 3, 'p_sex_offense': 2, 'p_weapon': 2, 'p_fta_two_year': 3, 'p_fta_two_year_plus': 7, 'p_pending_charge': 1, 'p_felony': 8, 'p_misdemeanor': 4, 'p_violence': 6, 'total_convictions': 3, 'p_arrest': 9, 'p_property': 5, 'p_traffic': 7, 'p_drug': 8, 'p_dui': 3, 'p_domestic': 8, 'p_stalking': 2, 'p_fraud': 2, 'p_stealing': 3, 'p_trespass': 5}",0.5814606741573034,False,0.01,15.0
fico_complete,4.298606502986065,9,4.807564698075647,4.298606502986065,train,"{'PercentTradesWBalance': 8, 'MSinceOldestTradeOpen': 4, 'MSinceMostRecentTradeOpen': 1, 'AverageMInFile': 4, 'NumSatisfactoryTrades': 4, 'NumTrades60Ever2DerogPubRec': 9, 'NumTrades90Ever2DerogPubRec': 3, 'PercentTradesNeverDelq': 6, 'MSinceMostRecentDelq': 8, 'MaxDelq2PublicRecLast12M': 1, 'MaxDelqEver': 7, 'NumTotalTrades': 7, 'NumTradesOpeninLast12M': 4, 'PercentInstallTrades': 7, 'MSinceMostRecentInqexcl7days': 9, 'NumInqLast6M': 4, 'NumInqLast6Mexcl7days': 2, 'NetFractionRevolvingBurden': 2, 'NetFractionInstallBurden': 5, 'NumRevolvingTradesWBalance': 2, 'NumInstallTradesWBalance': 3, 'NumBank2NatlTradesWHighUtilization': 4}",0.6684350132625995,False,0.01,
fico_complete,4.143236074270557,9,4.623342175066313,4.143236074270557,test,"{'PercentTradesWBalance': 8, 'MSinceOldestTradeOpen': 4, 'MSinceMostRecentTradeOpen': 1, 'AverageMInFile': 4, 'NumSatisfactoryTrades': 4, 'NumTrades60Ever2DerogPubRec': 9, 'NumTrades90Ever2DerogPubRec': 3, 'PercentTradesNeverDelq': 6, 'MSinceMostRecentDelq': 8, 'MaxDelq2PublicRecLast12M': 1, 'MaxDelqEver': 7, 'NumTotalTrades': 7, 'NumTradesOpeninLast12M': 4, 'PercentInstallTrades': 7, 'MSinceMostRecentInqexcl7days': 9, 'NumInqLast6M': 4, 'NumInqLast6Mexcl7days': 2, 'NetFractionRevolvingBurden': 2, 'NetFractionInstallBurden': 5, 'NumRevolvingTradesWBalance': 2, 'NumInstallTradesWBalance': 3, 'NumBank2NatlTradesWHighUtilization': 4}",0.6684350132625995,False,0.01,15.0
iris_setosa,4.0,4,4.0,4.0,train,"{'sepal length': 5, 'sepal width': 6, 'petal length': 4, 'petal width': 7}",1.0,False,0.01,
