dataset,naive_cost,max_cost_for_tree,greedy_cost_for_tree,optimized_cost,split,cost_by_var,tree_accuracy,use_cost_sens,cost_sens_scalar,iter
coupon_full,8.793343746245345,22,12.188994352997717,8.793343746245345,train,"{'temperature1': 1, 'time1': 2, 'age1': 4, 'income1': 9, 'Bar1': 1, 'CoffeeHouse1': 6, 'CarryAway1': 8, 'RestaurantLessThan201': 5, 'Restaurant20To501': 4}",0.565112926477655,False,0.001,
coupon_full,8.832292167227294,22,12.286400768861125,8.832292167227294,test,"{'temperature1': 1, 'time1': 2, 'age1': 4, 'income1': 9, 'Bar1': 1, 'CoffeeHouse1': 6, 'CarryAway1': 8, 'RestaurantLessThan201': 5, 'Restaurant20To501': 4}",0.565112926477655,False,0.001,14.0
wine_quality,6.258326776816156,9,8.049305009179124,6.258326776816156,train,"{'fixed_acidity': 3, 'volatile_acidity': 3, 'citric_acid': 4, 'residual_sugar': 5, 'chlorides': 3, 'free_sulfur_dioxide': 7, 'total_sulfur_dioxide': 5, 'density': 8, 'pH': 2, 'sulphates': 1, 'alcohol': 5}",0.6939203354297694,False,0.001,
wine_quality,6.20440251572327,9,8.046121593291405,6.20440251572327,test,"{'fixed_acidity': 3, 'volatile_acidity': 3, 'citric_acid': 4, 'residual_sugar': 5, 'chlorides': 3, 'free_sulfur_dioxide': 7, 'total_sulfur_dioxide': 5, 'density': 8, 'pH': 2, 'sulphates': 1, 'alcohol': 5}",0.6939203354297694,False,0.001,14.0
compas_complete,9.0,9,9.0,9.0,train,"{'age': 6, 'juv_fel_count': 5, 'juv_misd_count': 5, 'juvenile_crimes': 6, 'priors_count': 9}",0.6301798279906177,False,0.001,
compas_complete,9.0,9,9.0,9.0,test,"{'age': 6, 'juv_fel_count': 5, 'juv_misd_count': 5, 'juvenile_crimes': 6, 'priors_count': 9}",0.6301798279906177,False,0.001,14.0
wisconsin,10.793510324483776,24,17.5811209439528,11.825958702064897,train,"{'radius1': 5, 'texture1': 2, 'perimeter1': 5, 'area1': 8, 'smoothness1': 9, 'compactness1': 8, 'concavity1': 5, 'concave_points1': 8, 'symmetry1': 9, 'fractal_dimension1': 2, 'radius2': 1, 'texture2': 7, 'perimeter2': 2, 'area2': 9, 'smoothness2': 6, 'compactness2': 1, 'concavity2': 5, 'concave_points2': 3, 'symmetry2': 4, 'fractal_dimension2': 6, 'radius3': 6, 'texture3': 7, 'perimeter3': 6, 'area3': 5, 'smoothness3': 6, 'compactness3': 7, 'concavity3': 9, 'concave_points3': 8, 'symmetry3': 4, 'fractal_dimension3': 8}",0.9411764705882353,False,0.001,
wisconsin,11.094117647058823,24,18.0,12.035294117647059,test,"{'radius1': 5, 'texture1': 2, 'perimeter1': 5, 'area1': 8, 'smoothness1': 9, 'compactness1': 8, 'concavity1': 5, 'concave_points1': 8, 'symmetry1': 9, 'fractal_dimension1': 2, 'radius2': 1, 'texture2': 7, 'perimeter2': 2, 'area2': 9, 'smoothness2': 6, 'compactness2': 1, 'concavity2': 5, 'concave_points2': 3, 'symmetry2': 4, 'fractal_dimension2': 6, 'radius3': 6, 'texture3': 7, 'perimeter3': 6, 'area3': 5, 'smoothness3': 6, 'compactness3': 7, 'concavity3': 9, 'concave_points3': 8, 'symmetry3': 4, 'fractal_dimension3': 8}",0.9411764705882353,False,0.001,14.0
broward_general_2y,16.035864978902953,30,21.536568213783404,17.474683544303797,train,"{'age_at_current_charge': 6, 'age_at_first_charge': 3, 'p_charges': 3, 'p_probation': 1, 'p_juv_fel_count': 9, 'p_felprop_viol': 2, 'p_murder': 7, 'p_felassault': 9, 'p_misdeassault': 8, 'p_sex_offense': 4, 'p_weapon': 1, 'p_fta_two_year': 6, 'p_fta_two_year_plus': 7, 'p_pending_charge': 3, 'p_felony': 5, 'p_misdemeanor': 1, 'p_violence': 7, 'total_convictions': 7, 'p_arrest': 7, 'p_property': 2, 'p_traffic': 1, 'p_drug': 9, 'p_dui': 5, 'p_domestic': 4, 'p_stalking': 4, 'p_voyeurism': 7, 'p_fraud': 5, 'p_stealing': 5, 'p_trespass': 4}",0.5870786516853933,False,0.001,
broward_general_2y,16.18820224719101,30,21.915730337078653,17.502808988764045,test,"{'age_at_current_charge': 6, 'age_at_first_charge': 3, 'p_charges': 3, 'p_probation': 1, 'p_juv_fel_count': 9, 'p_felprop_viol': 2, 'p_murder': 7, 'p_felassault': 9, 'p_misdeassault': 8, 'p_sex_offense': 4, 'p_weapon': 1, 'p_fta_two_year': 6, 'p_fta_two_year_plus': 7, 'p_pending_charge': 3, 'p_felony': 5, 'p_misdemeanor': 1, 'p_violence': 7, 'total_convictions': 7, 'p_arrest': 7, 'p_property': 2, 'p_traffic': 1, 'p_drug': 9, 'p_dui': 5, 'p_domestic': 4, 'p_stalking': 4, 'p_voyeurism': 7, 'p_fraud': 5, 'p_stealing': 5, 'p_trespass': 4}",0.5870786516853933,False,0.001,14.0
fico_complete,8.985401459854014,17,13.922362309223622,8.985401459854014,train,"{'PercentTradesWBalance': 7, 'MSinceOldestTradeOpen': 1, 'MSinceMostRecentTradeOpen': 1, 'AverageMInFile': 6, 'NumSatisfactoryTrades': 1, 'NumTrades60Ever2DerogPubRec': 7, 'NumTrades90Ever2DerogPubRec': 6, 'PercentTradesNeverDelq': 3, 'MSinceMostRecentDelq': 5, 'MaxDelq2PublicRecLast12M': 4, 'MaxDelqEver': 7, 'NumTotalTrades': 2, 'NumTradesOpeninLast12M': 1, 'PercentInstallTrades': 9, 'MSinceMostRecentInqexcl7days': 9, 'NumInqLast6M': 8, 'NumInqLast6Mexcl7days': 2, 'NetFractionRevolvingBurden': 6, 'NetFractionInstallBurden': 1, 'NumRevolvingTradesWBalance': 8, 'NumInstallTradesWBalance': 9, 'NumBank2NatlTradesWHighUtilization': 6}",0.6259946949602122,False,0.001,
fico_complete,9.03448275862069,17,13.89655172413793,9.03448275862069,test,"{'PercentTradesWBalance': 7, 'MSinceOldestTradeOpen': 1, 'MSinceMostRecentTradeOpen': 1, 'AverageMInFile': 6, 'NumSatisfactoryTrades': 1, 'NumTrades60Ever2DerogPubRec': 7, 'NumTrades90Ever2DerogPubRec': 6, 'PercentTradesNeverDelq': 3, 'MSinceMostRecentDelq': 5, 'MaxDelq2PublicRecLast12M': 4, 'MaxDelqEver': 7, 'NumTotalTrades': 2, 'NumTradesOpeninLast12M': 1, 'PercentInstallTrades': 9, 'MSinceMostRecentInqexcl7days': 9, 'NumInqLast6M': 8, 'NumInqLast6Mexcl7days': 2, 'NetFractionRevolvingBurden': 6, 'NetFractionInstallBurden': 1, 'NumRevolvingTradesWBalance': 8, 'NumInstallTradesWBalance': 9, 'NumBank2NatlTradesWHighUtilization': 6}",0.6259946949602122,False,0.001,14.0
iris_setosa,1.0,1,1.0,1.0,train,"{'sepal length': 1, 'sepal width': 5, 'petal length': 1, 'petal width': 4}",1.0,False,0.001,
iris_setosa,1.0,1,1.0,1.0,test,"{'sepal length': 1, 'sepal width': 5, 'petal length': 1, 'petal width': 4}",1.0,False,0.001,14.0
iris_versicolor,7.125,9,7.125,7.2,train,"{'sepal length': 9, 'sepal width': 5, 'petal length': 5, 'petal width': 4}",0.65,False,0.001,
iris_versicolor,6.75,9,6.75,7.8,test,"{'sepal length': 9, 'sepal width': 5, 'petal length': 5, 'petal width': 4}",0.65,False,0.001,14.0
iris_virginica,4.55,11,5.525,4.55,train,"{'sepal length': 4, 'sepal width': 6, 'petal length': 3, 'petal width': 2}",1.0,False,0.001,
iris_virginica,4.1,5,5.0,4.1,test,"{'sepal length': 4, 'sepal width': 6, 'petal length': 3, 'petal width': 2}",1.0,False,0.001,14.0
spiral,4.2375,8,4.2375,4.2375,train,"{'feat1': 7, 'feat2': 1}",0.5,False,0.001,
spiral,3.45,8,3.45,3.45,test,"{'feat1': 7, 'feat2': 1}",0.5,False,0.001,14.0
tic-tac-toe,14.001883239171375,32,19.451977401129945,14.740112994350282,train,"{'Feat0_o': 2, 'Feat0_x': 6, 'Feat1_o': 8, 'Feat1_x': 7, 'Feat2_o': 9, 'Feat2_x': 3, 'Feat3_o': 1, 'Feat3_x': 9, 'Feat4_o': 7, 'Feat4_x': 1, 'Feat5_o': 9, 'Feat5_x': 3, 'Feat6_o': 5, 'Feat6_x': 9, 'Feat7_o': 3, 'Feat7_x': 3, 'Feat8_o': 3, 'Feat8_x': 8}",0.7293233082706767,False,0.001,
tic-tac-toe,13.894736842105264,32,18.796992481203006,14.639097744360901,test,"{'Feat0_o': 2, 'Feat0_x': 6, 'Feat1_o': 8, 'Feat1_x': 7, 'Feat2_o': 9, 'Feat2_x': 3, 'Feat3_o': 1, 'Feat3_x': 9, 'Feat4_o': 7, 'Feat4_x': 1, 'Feat5_o': 9, 'Feat5_x': 3, 'Feat6_o': 5, 'Feat6_x': 9, 'Feat7_o': 3, 'Feat7_x': 3, 'Feat8_o': 3, 'Feat8_x': 8}",0.7293233082706767,False,0.001,14.0
