dataset,naive_cost,max_cost_for_tree,greedy_cost_for_tree,optimized_cost,split,cost_by_var,tree_accuracy,use_cost_sens,cost_sens_scalar,iter
coupon_full,7.374624534422684,13,12.297128439264688,7.374624534422684,train,"{'temperature1': 1, 'time1': 2, 'age1': 4, 'income1': 9, 'Bar1': 1, 'CoffeeHouse1': 6, 'CarryAway1': 8, 'RestaurantLessThan201': 5, 'Restaurant20To501': 4}",0.5636713118692936,False,0.001,
coupon_full,7.361364728495915,13,12.244593945218645,7.361364728495915,test,"{'temperature1': 1, 'time1': 2, 'age1': 4, 'income1': 9, 'Bar1': 1, 'CoffeeHouse1': 6, 'CarryAway1': 8, 'RestaurantLessThan201': 5, 'Restaurant20To501': 4}",0.5636713118692936,False,0.001,19.0
wine_quality,13.293207448203514,24,21.596380802517704,14.150799895095725,train,"{'fixed_acidity': 3, 'volatile_acidity': 3, 'citric_acid': 4, 'residual_sugar': 5, 'chlorides': 3, 'free_sulfur_dioxide': 7, 'total_sulfur_dioxide': 5, 'density': 8, 'pH': 2, 'sulphates': 1, 'alcohol': 5}",0.6876310272536688,False,0.001,
wine_quality,13.364779874213836,24,21.77777777777778,14.248427672955975,test,"{'fixed_acidity': 3, 'volatile_acidity': 3, 'citric_acid': 4, 'residual_sugar': 5, 'chlorides': 3, 'free_sulfur_dioxide': 7, 'total_sulfur_dioxide': 5, 'density': 8, 'pH': 2, 'sulphates': 1, 'alcohol': 5}",0.6876310272536688,False,0.001,19.0
compas_complete,9.0,9,9.0,9.0,train,"{'age': 6, 'juv_fel_count': 5, 'juv_misd_count': 5, 'juvenile_crimes': 6, 'priors_count': 9}",0.6301798279906177,False,0.001,
compas_complete,9.0,9,9.0,9.0,test,"{'age': 6, 'juv_fel_count': 5, 'juv_misd_count': 5, 'juvenile_crimes': 6, 'priors_count': 9}",0.6301798279906177,False,0.001,19.0
wisconsin,12.23598820058997,36,26.348082595870206,12.23598820058997,train,"{'radius1': 5, 'texture1': 2, 'perimeter1': 5, 'area1': 8, 'smoothness1': 9, 'compactness1': 8, 'concavity1': 5, 'concave_points1': 8, 'symmetry1': 9, 'fractal_dimension1': 2, 'radius2': 1, 'texture2': 7, 'perimeter2': 2, 'area2': 9, 'smoothness2': 6, 'compactness2': 1, 'concavity2': 5, 'concave_points2': 3, 'symmetry2': 4, 'fractal_dimension2': 6, 'radius3': 6, 'texture3': 7, 'perimeter3': 6, 'area3': 5, 'smoothness3': 6, 'compactness3': 7, 'concavity3': 9, 'concave_points3': 8, 'symmetry3': 4, 'fractal_dimension3': 8}",0.9529411764705882,False,0.001,
wisconsin,12.788235294117648,36,26.870588235294118,12.788235294117648,test,"{'radius1': 5, 'texture1': 2, 'perimeter1': 5, 'area1': 8, 'smoothness1': 9, 'compactness1': 8, 'concavity1': 5, 'concave_points1': 8, 'symmetry1': 9, 'fractal_dimension1': 2, 'radius2': 1, 'texture2': 7, 'perimeter2': 2, 'area2': 9, 'smoothness2': 6, 'compactness2': 1, 'concavity2': 5, 'concave_points2': 3, 'symmetry2': 4, 'fractal_dimension2': 6, 'radius3': 6, 'texture3': 7, 'perimeter3': 6, 'area3': 5, 'smoothness3': 6, 'compactness3': 7, 'concavity3': 9, 'concave_points3': 8, 'symmetry3': 4, 'fractal_dimension3': 8}",0.9529411764705882,False,0.001,19.0
broward_general_2y,7.938115330520394,17,8.936005625879044,8.707454289732771,train,"{'age_at_current_charge': 6, 'age_at_first_charge': 3, 'p_charges': 3, 'p_probation': 1, 'p_juv_fel_count': 9, 'p_felprop_viol': 2, 'p_murder': 7, 'p_felassault': 9, 'p_misdeassault': 8, 'p_sex_offense': 4, 'p_weapon': 1, 'p_fta_two_year': 6, 'p_fta_two_year_plus': 7, 'p_pending_charge': 3, 'p_felony': 5, 'p_misdemeanor': 1, 'p_violence': 7, 'total_convictions': 7, 'p_arrest': 7, 'p_property': 2, 'p_traffic': 1, 'p_drug': 9, 'p_dui': 5, 'p_domestic': 4, 'p_stalking': 4, 'p_voyeurism': 7, 'p_fraud': 5, 'p_stealing': 5, 'p_trespass': 4}",0.6095505617977528,False,0.001,
broward_general_2y,7.632022471910112,17,8.432584269662922,8.205056179775282,test,"{'age_at_current_charge': 6, 'age_at_first_charge': 3, 'p_charges': 3, 'p_probation': 1, 'p_juv_fel_count': 9, 'p_felprop_viol': 2, 'p_murder': 7, 'p_felassault': 9, 'p_misdeassault': 8, 'p_sex_offense': 4, 'p_weapon': 1, 'p_fta_two_year': 6, 'p_fta_two_year_plus': 7, 'p_pending_charge': 3, 'p_felony': 5, 'p_misdemeanor': 1, 'p_violence': 7, 'total_convictions': 7, 'p_arrest': 7, 'p_property': 2, 'p_traffic': 1, 'p_drug': 9, 'p_dui': 5, 'p_domestic': 4, 'p_stalking': 4, 'p_voyeurism': 7, 'p_fraud': 5, 'p_stealing': 5, 'p_trespass': 4}",0.6095505617977528,False,0.001,19.0
fico_complete,7.925016589250166,25,12.153284671532846,7.925016589250166,train,"{'PercentTradesWBalance': 7, 'MSinceOldestTradeOpen': 1, 'MSinceMostRecentTradeOpen': 1, 'AverageMInFile': 6, 'NumSatisfactoryTrades': 1, 'NumTrades60Ever2DerogPubRec': 7, 'NumTrades90Ever2DerogPubRec': 6, 'PercentTradesNeverDelq': 3, 'MSinceMostRecentDelq': 5, 'MaxDelq2PublicRecLast12M': 4, 'MaxDelqEver': 7, 'NumTotalTrades': 2, 'NumTradesOpeninLast12M': 1, 'PercentInstallTrades': 9, 'MSinceMostRecentInqexcl7days': 9, 'NumInqLast6M': 8, 'NumInqLast6Mexcl7days': 2, 'NetFractionRevolvingBurden': 6, 'NetFractionInstallBurden': 1, 'NumRevolvingTradesWBalance': 8, 'NumInstallTradesWBalance': 9, 'NumBank2NatlTradesWHighUtilization': 6}",0.6259946949602122,False,0.001,
