dataset,naive_cost,max_cost_for_tree,greedy_cost_for_tree,optimized_cost,split,cost_by_var,tree_accuracy,use_cost_sens,cost_sens_scalar,iter
fico_complete,14.385534173855342,34,20.815527538155276,14.385534173855342,train,"{'PercentTradesWBalance': 6, 'MSinceOldestTradeOpen': 5, 'MSinceMostRecentTradeOpen': 4, 'AverageMInFile': 4, 'NumSatisfactoryTrades': 1, 'NumTrades60Ever2DerogPubRec': 5, 'NumTrades90Ever2DerogPubRec': 5, 'PercentTradesNeverDelq': 2, 'MSinceMostRecentDelq': 4, 'MaxDelq2PublicRecLast12M': 5, 'MaxDelqEver': 2, 'NumTotalTrades': 3, 'NumTradesOpeninLast12M': 2, 'PercentInstallTrades': 2, 'MSinceMostRecentInqexcl7days': 3, 'NumInqLast6M': 2, 'NumInqLast6Mexcl7days': 3, 'NetFractionRevolvingBurden': 9, 'NetFractionInstallBurden': 5, 'NumRevolvingTradesWBalance': 3, 'NumInstallTradesWBalance': 5, 'NumBank2NatlTradesWHighUtilization': 7}",0.623342175066313,False,0.0001,
fico_complete,14.037135278514588,34,20.071618037135277,14.037135278514588,test,"{'PercentTradesWBalance': 6, 'MSinceOldestTradeOpen': 5, 'MSinceMostRecentTradeOpen': 4, 'AverageMInFile': 4, 'NumSatisfactoryTrades': 1, 'NumTrades60Ever2DerogPubRec': 5, 'NumTrades90Ever2DerogPubRec': 5, 'PercentTradesNeverDelq': 2, 'MSinceMostRecentDelq': 4, 'MaxDelq2PublicRecLast12M': 5, 'MaxDelqEver': 2, 'NumTotalTrades': 3, 'NumTradesOpeninLast12M': 2, 'PercentInstallTrades': 2, 'MSinceMostRecentInqexcl7days': 3, 'NumInqLast6M': 2, 'NumInqLast6Mexcl7days': 3, 'NetFractionRevolvingBurden': 9, 'NetFractionInstallBurden': 5, 'NumRevolvingTradesWBalance': 3, 'NumInstallTradesWBalance': 5, 'NumBank2NatlTradesWHighUtilization': 7}",0.623342175066313,False,0.0001,14.0
iris_setosa,7.0,7,7.0,7.0,train,"{'sepal length': 6, 'sepal width': 7, 'petal length': 7, 'petal width': 8}",1.0,False,0.0001,
iris_setosa,7.0,7,7.0,7.0,test,"{'sepal length': 6, 'sepal width': 7, 'petal length': 7, 'petal width': 8}",1.0,False,0.0001,14.0
iris_versicolor,14.7875,24,16.9125,13.125,train,"{'sepal length': 5, 'sepal width': 9, 'petal length': 1, 'petal width': 9}",0.7,False,0.0001,
iris_versicolor,14.7,24,16.8,12.6,test,"{'sepal length': 5, 'sepal width': 9, 'petal length': 1, 'petal width': 9}",0.7,False,0.0001,14.0
iris_virginica,4.475,12,4.475,2.425,train,"{'sepal length': 4, 'sepal width': 2, 'petal length': 1, 'petal width': 9}",0.9,False,0.0001,
iris_virginica,2.9,12,2.9,2.65,test,"{'sepal length': 4, 'sepal width': 2, 'petal length': 1, 'petal width': 9}",0.9,False,0.0001,14.0
spiral,6.0,6,6.0,6.0,train,"{'feat1': 4, 'feat2': 6}",0.6,False,0.0001,
spiral,6.0,6,6.0,6.0,test,"{'feat1': 4, 'feat2': 6}",0.6,False,0.0001,14.0
tic-tac-toe,16.220338983050848,36,25.783427495291903,16.220338983050848,train,"{'Feat0_o': 3, 'Feat0_x': 5, 'Feat1_o': 2, 'Feat1_x': 9, 'Feat2_o': 4, 'Feat2_x': 8, 'Feat3_o': 9, 'Feat3_x': 1, 'Feat4_o': 7, 'Feat4_x': 6, 'Feat5_o': 3, 'Feat5_x': 3, 'Feat6_o': 9, 'Feat6_x': 7, 'Feat7_o': 9, 'Feat7_x': 1, 'Feat8_o': 4, 'Feat8_x': 3}",0.7443609022556391,False,0.0001,
tic-tac-toe,16.42105263157895,36,27.075187969924812,16.42105263157895,test,"{'Feat0_o': 3, 'Feat0_x': 5, 'Feat1_o': 2, 'Feat1_x': 9, 'Feat2_o': 4, 'Feat2_x': 8, 'Feat3_o': 9, 'Feat3_x': 1, 'Feat4_o': 7, 'Feat4_x': 6, 'Feat5_o': 3, 'Feat5_x': 3, 'Feat6_o': 9, 'Feat6_x': 7, 'Feat7_o': 9, 'Feat7_x': 1, 'Feat8_o': 4, 'Feat8_x': 3}",0.7443609022556391,False,0.0001,14.0
