dataset,naive_cost,max_cost_for_tree,greedy_cost_for_tree,optimized_cost,split,cost_by_var,tree_accuracy,use_cost_sens,cost_sens_scalar,iter
coupon_full,12.808963114261685,30,17.568785293764268,12.794665385077495,train,"{'temperature1': 3, 'time1': 2, 'age1': 8, 'income1': 7, 'Bar1': 2, 'CoffeeHouse1': 2, 'CarryAway1': 3, 'RestaurantLessThan201': 7, 'Restaurant20To501': 8}",0.5588659298414224,False,0.0001,
coupon_full,12.87986544930322,30,17.846227775108122,12.853916386352715,test,"{'temperature1': 3, 'time1': 2, 'age1': 8, 'income1': 7, 'Bar1': 2, 'CoffeeHouse1': 2, 'CarryAway1': 3, 'RestaurantLessThan201': 7, 'Restaurant20To501': 8}",0.5588659298414224,False,0.0001,21.0
wine_quality,14.6328350380278,23,17.651455546813533,14.449514817728822,train,"{'fixed_acidity': 4, 'volatile_acidity': 9, 'citric_acid': 4, 'residual_sugar': 4, 'chlorides': 1, 'free_sulfur_dioxide': 5, 'total_sulfur_dioxide': 5, 'density': 4, 'pH': 4, 'sulphates': 1, 'alcohol': 5}",0.7190775681341719,False,0.0001,
wine_quality,14.677148846960169,23,17.59433962264151,14.858490566037736,test,"{'fixed_acidity': 4, 'volatile_acidity': 9, 'citric_acid': 4, 'residual_sugar': 4, 'chlorides': 1, 'free_sulfur_dioxide': 5, 'total_sulfur_dioxide': 5, 'density': 4, 'pH': 4, 'sulphates': 1, 'alcohol': 5}",0.7190775681341719,False,0.0001,21.0
compas_complete,6.0,6,6.0,6.0,train,"{'age': 5, 'juv_fel_count': 1, 'juv_misd_count': 6, 'juvenile_crimes': 6, 'priors_count': 6}",0.6247068021892104,False,0.0001,
compas_complete,6.0,6,6.0,6.0,test,"{'age': 5, 'juv_fel_count': 1, 'juv_misd_count': 6, 'juvenile_crimes': 6, 'priors_count': 6}",0.6247068021892104,False,0.0001,21.0
wisconsin,12.035398230088495,22,13.858407079646017,12.035398230088495,train,"{'radius1': 6, 'texture1': 1, 'perimeter1': 5, 'area1': 4, 'smoothness1': 5, 'compactness1': 3, 'concavity1': 9, 'concave_points1': 8, 'symmetry1': 2, 'fractal_dimension1': 6, 'radius2': 8, 'texture2': 9, 'perimeter2': 3, 'area2': 5, 'smoothness2': 3, 'compactness2': 7, 'concavity2': 6, 'concave_points2': 9, 'symmetry2': 5, 'fractal_dimension2': 5, 'radius3': 8, 'texture3': 7, 'perimeter3': 6, 'area3': 2, 'smoothness3': 3, 'compactness3': 4, 'concavity3': 8, 'concave_points3': 6, 'symmetry3': 4, 'fractal_dimension3': 5}",0.9529411764705882,False,0.0001,
wisconsin,11.91764705882353,22,13.91764705882353,11.91764705882353,test,"{'radius1': 6, 'texture1': 1, 'perimeter1': 5, 'area1': 4, 'smoothness1': 5, 'compactness1': 3, 'concavity1': 9, 'concave_points1': 8, 'symmetry1': 2, 'fractal_dimension1': 6, 'radius2': 8, 'texture2': 9, 'perimeter2': 3, 'area2': 5, 'smoothness2': 3, 'compactness2': 7, 'concavity2': 6, 'concave_points2': 9, 'symmetry2': 5, 'fractal_dimension2': 5, 'radius3': 8, 'texture3': 7, 'perimeter3': 6, 'area3': 2, 'smoothness3': 3, 'compactness3': 4, 'concavity3': 8, 'concave_points3': 6, 'symmetry3': 4, 'fractal_dimension3': 5}",0.9529411764705882,False,0.0001,21.0
broward_general_2y,14.171589310829818,25,17.549226441631504,13.872714486638538,train,"{'age_at_current_charge': 1, 'age_at_first_charge': 4, 'p_charges': 7, 'p_probation': 8, 'p_juv_fel_count': 8, 'p_felprop_viol': 5, 'p_murder': 9, 'p_felassault': 2, 'p_misdeassault': 6, 'p_sex_offense': 2, 'p_weapon': 6, 'p_fta_two_year': 9, 'p_fta_two_year_plus': 7, 'p_pending_charge': 7, 'p_felony': 6, 'p_misdemeanor': 5, 'p_violence': 5, 'total_convictions': 8, 'p_arrest': 2, 'p_property': 8, 'p_traffic': 9, 'p_drug': 5, 'p_dui': 1, 'p_domestic': 6, 'p_stalking': 8, 'p_voyeurism': 6, 'p_fraud': 8, 'p_stealing': 6, 'p_trespass': 8}",0.6039325842696629,False,0.0001,
broward_general_2y,14.351123595505618,25,17.21629213483146,14.075842696629213,test,"{'age_at_current_charge': 1, 'age_at_first_charge': 4, 'p_charges': 7, 'p_probation': 8, 'p_juv_fel_count': 8, 'p_felprop_viol': 5, 'p_murder': 9, 'p_felassault': 2, 'p_misdeassault': 6, 'p_sex_offense': 2, 'p_weapon': 6, 'p_fta_two_year': 9, 'p_fta_two_year_plus': 7, 'p_pending_charge': 7, 'p_felony': 6, 'p_misdemeanor': 5, 'p_violence': 5, 'total_convictions': 8, 'p_arrest': 2, 'p_property': 8, 'p_traffic': 9, 'p_drug': 5, 'p_dui': 1, 'p_domestic': 6, 'p_stalking': 8, 'p_voyeurism': 6, 'p_fraud': 8, 'p_stealing': 6, 'p_trespass': 8}",0.6039325842696629,False,0.0001,21.0
fico_complete,9.167883211678832,23,13.408759124087592,9.167883211678832,train,"{'PercentTradesWBalance': 6, 'MSinceOldestTradeOpen': 5, 'MSinceMostRecentTradeOpen': 4, 'AverageMInFile': 4, 'NumSatisfactoryTrades': 1, 'NumTrades60Ever2DerogPubRec': 5, 'NumTrades90Ever2DerogPubRec': 5, 'PercentTradesNeverDelq': 2, 'MSinceMostRecentDelq': 4, 'MaxDelq2PublicRecLast12M': 5, 'MaxDelqEver': 2, 'NumTotalTrades': 3, 'NumTradesOpeninLast12M': 2, 'PercentInstallTrades': 2, 'MSinceMostRecentInqexcl7days': 3, 'NumInqLast6M': 2, 'NumInqLast6Mexcl7days': 3, 'NetFractionRevolvingBurden': 9, 'NetFractionInstallBurden': 5, 'NumRevolvingTradesWBalance': 3, 'NumInstallTradesWBalance': 5, 'NumBank2NatlTradesWHighUtilization': 7}",0.6604774535809018,False,0.0001,
fico_complete,9.050397877984086,23,13.198938992042441,9.050397877984086,test,"{'PercentTradesWBalance': 6, 'MSinceOldestTradeOpen': 5, 'MSinceMostRecentTradeOpen': 4, 'AverageMInFile': 4, 'NumSatisfactoryTrades': 1, 'NumTrades60Ever2DerogPubRec': 5, 'NumTrades90Ever2DerogPubRec': 5, 'PercentTradesNeverDelq': 2, 'MSinceMostRecentDelq': 4, 'MaxDelq2PublicRecLast12M': 5, 'MaxDelqEver': 2, 'NumTotalTrades': 3, 'NumTradesOpeninLast12M': 2, 'PercentInstallTrades': 2, 'MSinceMostRecentInqexcl7days': 3, 'NumInqLast6M': 2, 'NumInqLast6Mexcl7days': 3, 'NetFractionRevolvingBurden': 9, 'NetFractionInstallBurden': 5, 'NumRevolvingTradesWBalance': 3, 'NumInstallTradesWBalance': 5, 'NumBank2NatlTradesWHighUtilization': 7}",0.6604774535809018,False,0.0001,21.0
iris_setosa,7.0,7,7.0,7.0,train,"{'sepal length': 6, 'sepal width': 7, 'petal length': 7, 'petal width': 8}",1.0,False,0.0001,
iris_setosa,7.0,7,7.0,7.0,test,"{'sepal length': 6, 'sepal width': 7, 'petal length': 7, 'petal width': 8}",1.0,False,0.0001,21.0
iris_versicolor,13.1875,24,18.0375,13.1875,train,"{'sepal length': 5, 'sepal width': 9, 'petal length': 1, 'petal width': 9}",0.7,False,0.0001,
iris_versicolor,13.5,24,17.7,13.5,test,"{'sepal length': 5, 'sepal width': 9, 'petal length': 1, 'petal width': 9}",0.7,False,0.0001,21.0
iris_virginica,4.975,12,4.975,4.975,train,"{'sepal length': 4, 'sepal width': 2, 'petal length': 1, 'petal width': 9}",0.9,False,0.0001,
iris_virginica,2.9,12,2.9,2.9,test,"{'sepal length': 4, 'sepal width': 2, 'petal length': 1, 'petal width': 9}",0.9,False,0.0001,21.0
spiral,6.0,6,6.0,6.0,train,"{'feat1': 4, 'feat2': 6}",0.6,False,0.0001,
spiral,6.0,6,6.0,6.0,test,"{'feat1': 4, 'feat2': 6}",0.6,False,0.0001,21.0
